vietnamese_name,english_name,type,region,description,ingredients,how_to_eat,fun_fact,,
Bánh Đa Cua,Northern Crab Noodle Soup with Brown Rice Noodles,Crab Noodle Soup,North,"The northern version - brown rice noodles in a crab broth with crab patties, fried tofu, and green onions.","Brown rice noodles, crab broth, crab patties, fried tofu, green onions, herbs, lime",The noodles have a nutty flavor from the brown rice. Add fresh herbs and a tiny bit of shrimp paste.,The brown rice noodles are distinctive - they have a different texture and flavor than regular rice noodles.,,
Bánh Da Lợn,Steamed Layer Cake (Pig Skin Cake),Layer Cake,All,"A steamed layer cake with alternating green and yellow layers. It's soft, chewy, and slightly sweet.","Rice flour, tapioca starch, coconut milk, sugar, pandan extract, mung bean paste",Slice it and eat it as a snack or dessert. The layers should separate cleanly.,"The name means 'pig skin cake' - it might refer to the smooth, shiny surface.",,
Bánh Da Lợn (layer),Multi-layered Steamed Cake,Layer Cake,All,A multi-layered version of the cake with more than 2 colors - often 5 or 7 layers.,"Rice flour, tapioca starch, coconut milk, sugar, various food colorings",You can peel the layers apart or just slice through them.,Making this requires patience - each layer has to be steamed before the next one is added.,,
Bánh Đúc,Savory Jelly-style Rice Cake,Rice Cake,North,"A savory steamed rice cake made with lime water for a firm, jelly-like texture. Topped with ground pork, fried shallots, peanuts, and fish sauce.","Rice flour, lime water, ground pork, wood ear mushrooms, fried shallots, roasted peanuts, scallion oil, fish sauce",Eat it with a spoon - the cake jiggles like firm jelly. Top it with plenty of sauce.,There's also a sweet version made with coconut milk and sugar - it's a totally different dish.,,
Bánh Đúc Nóng,Warm Rice Porridge Cake,Rice Porridge,North,"A warm, soft, rice porridge-like version of bánh đúc. Eaten hot with ground pork, mushrooms, and herbs.","Rice flour, ground pork, wood ear mushrooms, scallions, fish sauce, pepper","Eat it hot like a porridge. Add chili, herbs, and fried shallots.",This is the comfort food of northern Vietnam - especially popular in the winter.,,
Bánh Flan,Vietnamese Caramel Custard,Caramel Custard,All,The Vietnamese version of crème caramel - a silky smooth custard with caramel sauce. Often served with coffee or crushed ice.,"Eggs, condensed milk, sugar, milk, vanilla, caramel",Eat it chilled. Sometimes crushed ice is added on top for extra texture.,"This is a French colonial influence - the Vietnamese version uses condensed milk, making it richer.",,
Bánh Gối,Hanoi ,Pillow, Cakes (Fried Pastry),Fried Pastry,Hanoi,"A Hanoi street food - a deep-fried pastry shaped like a pillow, stuffed with pork, mushrooms, vermicelli, and egg.","Wheat flour pastry, ground pork, wood ear mushrooms, cellophane noodles, egg, carrots, onions",Dip it in a sweet-sour fish sauce. Eat it while it's hot - it's crispy on the outside and juicy on the inside.,The name means 'pillow cake' - it really does resemble a small pillow.
Bánh In,Huế Molded Cakes,Molded Cakes,Central,Huế molded cakes - they're pressed into beautiful wooden molds and are often given as gifts.,"Rice flour, sugar, pandan, durian, or other flavors",They have a hard texture - you bite them or break them into pieces.,The beautiful patterns come from the wooden molds - they're a traditional gift.,,
Bánh Ít Lá Gai,Central Vietnamese Black Sticky Rice Cakes,Black Sticky Rice Cakes,Central,"A Central Vietnam specialty - black sticky rice cakes made with gai leaf, filled with mung bean and coconut, and wrapped in banana leaves.","Glutinous rice flour, gai leaf extract, mung bean paste, coconut, sugar, banana leaves","Steam them, unwrap them, and eat them. They're chewy, slightly sweet, and have an herbal flavor from the gai leaf.",The gai leaf gives the cakes their black color and a distinctive aroma. They're a traditional treat.,,
Bánh Ít Trần,,Naked, Steamed Rice Dumplings (Hue style),Steamed Dumplings,Central,Huế-style steamed rice dumplings with a shrimp and mung bean filling. They're called 'naked' because there's no wrapper beyond the rice dough.,"Rice flour dough, shrimp, mung bean paste, scallion oil, fish sauce dip","Dip them in scallion oil or fish sauce. They're small, one-bite sized.","These are part of Huế's royal cuisine - they're small, delicate, and beautifully presented."
Bánh Khoái,Crispy Pancake (Hue style),Pancake,Central,"Hue's answer to bánh xèo - smaller, thicker, and extra crispy pancake with shrimp, pork, and bean sprouts. Served with fresh herbs and peanut dipping sauce.","Rice flour, turmeric, coconut milk, shrimp, pork belly, bean sprouts, fresh herbs, peanut sauce","Wrap a piece in lettuce with herbs, dip in peanut sauce, and enjoy the crunch.",The name means 'happy cake' - possibly because it makes you happy to eat it!,,
Bánh Khọt,Mini Crispy Pancakes with Shrimp,Mini Pancakes,South,"Small, crispy mini pancakes made from rice flour and coconut milk, topped with whole shrimp. Cooked in special cast iron molds.","Rice flour, coconut milk, turmeric, shrimp, green onions, mung bean, fish sauce dip",Wrap in lettuce with herbs and dip in fish sauce. Pop the whole thing in your mouth.,Cooking these requires a special pan with small round indentations - each pancake is perfectly bite-sized.,,
Bánh Lọc,Clear Tapioca Dumplings with Shrimp (Hue style),Clear Dumplings,Central,"Huế translucent tapioca dumplings with a shrimp and pork filling. They're chewy, clear, and beautiful.","Tapioca flour, shrimp, ground pork, scallions, fish sauce dip",Dip them in fish sauce with chili. The chewy texture is the appeal.,They're so clear you can see the filling inside - they're visually striking.,,
Bánh Mì Chảo,Saigon Baguette Pan (Breakfast Platter),Baguette Pan,Saigon,A Saigon specialty - various items served in a small pan with a baguette for dipping.,"Baguette, pâté, fried eggs, grilled pork, sausage, meatballs, cheese, butter","Tear off pieces of bread and dip them in everything in the pan. It's a communal way of eating, but with your own bread.",This is a popular breakfast - each person gets a basket of bread and they all share the pan.,,
Bánh Mì Hội An,Vietnamese Sandwich (Hoi An style),Sandwich,Hoi An,"Exceptionally crispy, light baguette filled with cold cuts, pâté, mayonnaise, pickled vegetables, fresh herbs, and chili. The bread is baked fresh multiple times daily.","Crispy baguette, pork cold cuts, pâté, mayonnaise, pickled carrots, cucumber, cilantro, chili sauce",Eat immediately while the bread is still crispy! Don't wait.,"Anthony Bourdain declared this 'the best bánh mì in Vietnam' - expect a queue, but it moves fast.",,
Bánh Mì Ốp La,Vietnamese Egg Sandwich,Egg Sandwich,All,"A Vietnamese egg sandwich - a baguette with a fried egg, pâté, butter, soy sauce, and chili.","Baguette, fried egg, pâté, butter, soy sauce, chili sauce, cucumber, cilantro","Break the yolk, spread it around, and eat. It's simple but perfect.",This is a quick breakfast available everywhere - it takes 10 seconds to make and 2 minutes to eat.,,
Bánh Mì Phượng,Hoi An,s Famous Bánh Mì (Phuong,s),Sandwich,Hoi An,"Hoi An's famous bánh mì - it has exceptional bread, baked multiple times daily, and is filled with multiple meat options and a special sauce.","Crispy baguette, assorted cold cuts, grilled pork, pâté, mayonnaise, special sauce, pickled vegetables, fresh cilantro, chili",Order the 'đặc biệt' (special) to get everything. Eat it immediately - the bread quality is everything.,Anthony Bourdain called it the 'best bánh mì in Vietnam' - it's now a tourist destination.
Bánh Mì Que,Vietnamese Bread Sticks,Bread Sticks,All,"Small, thin baguettes - they're like bread sticks, but soft on the inside.","Wheat flour, water, yeast, salt","Eat them with anything - pâté, butter, condensed milk, or dip them in coffee.",Street vendors sell bags of these for breakfast.,,
Bánh Nậm,Flat Rice Dumplings with Shrimp (Hue style),Flat Dumplings,Central,"Huế flat rice dumplings filled with shrimp and pork, wrapped in banana leaves, and steamed. They're thin, rectangular, and delicate.","Rice flour batter, shrimp, ground pork, wood ear mushrooms, scallions, fish sauce, banana leaves",Unwrap and eat with fish sauce. The texture is silky and the filling is savory.,"The name refers to the shape - 'nậm' means a flat, rectangular form.",,
Bánh Phồng Tôm,Shrimp Crackers,Shrimp Crackers,All,"Deep-fried, shrimp-flavored puffed crackers. They're light, crispy, and airy.","Tapioca flour, shrimp paste, eggs, sugar, salt","Eat them as a snack, an appetizer, or with dips.","Watch them cook - tiny, flat discs turn into huge, puffy crackers just seconds after hitting the hot oil.",,
Bánh Phục Linh,Huế Royal Medicinal Cakes,Medicinal Cakes,Huế,Huế royal medicinal cakes - they're made with a medicinal herb and are believed to be good for your health.,"Rice flour, powdered herb, sugar",Eat them as a snack with tea. They have a subtle herbal flavor.,"This is part of Huế's royal medicinal cuisine, where food is also medicine.",,
Bánh Ram Ít,Fried Rice Dumplings with Soft Top (Hue style),Fried Dumplings,Central,A Huế specialty - a fried rice cake topped with a steamed rice dumpling. You get two textures in one: a crispy bottom and a soft top.,"Rice flour, mung bean, shrimp, pork, scallion oil",Eat it whole - the contrast between the crispy base and the soft top is the whole point.,This is a clever combination - two separate preparations are combined into a single dish.,,
Bánh Tét,Cylindrical Sticky Rice Cake (Tet holiday),Sticky Rice Cake,South,"The southern Tết specialty - a cylindrical glutinous rice cake filled with mung bean and pork, wrapped in banana leaves.","Glutinous rice, mung bean paste, fatty pork, black pepper, banana leaves",Slice it into rounds and eat it with pickled onions. Leftovers can be fried.,This is the southern counterpart to the northern bánh chưng - it's shaped like a cylinder instead of a square.,,
Bánh Thuẫn,Huế Royal Sponge Cake,Sponge Cake,Central,"A Huế royal sponge cake - it's light and airy, and made with many egg yolks.","Egg yolks, sugar, wheat flour, vanilla",Eat it as a snack with tea. It has the texture of a light sponge cake.,This is part of Huế's royal cuisine - it's labor-intensive and requires whisking the eggs by hand for a long time.,,
Bánh Tôm,Hanoi Shrimp and Sweet Potato Fritters,Shrimp Fritters,Hanoi,A Hanoi specialty - sweet potato and shrimp fritters. Whole shrimp are battered with sweet potato strips and deep-fried.,"Sweet potato strips, whole small shrimp, rice flour batter, salt, pepper","Eat them with fresh herbs and dip them in fish sauce. The sweet potato is sweet, the shrimp is savory, and the batter is crispy.","These are best eaten by West Lake in Hanoi, where the street stalls are famous for this dish.",,
Bánh Tráng Cuốn Thịt Heo,Pork Wraps with Fermented Shrimp Sauce,Pork Wraps,Central,"Boiled pork served with rice paper, fresh herbs, green banana, starfruit, and fermented shrimp sauce. You wrap everything yourself.","Boiled pork, rice paper, fresh herbs, green banana, starfruit, cucumber, fermented shrimp sauce","Wet the rice paper, arrange ingredients, roll tightly, and dip in the fermented shrimp sauce.","The sauce is divisive - some love its funky depth, others find it too strong. In Da Nang, it's considered essential.",,
Bánh Tráng Nướng,Grilled Rice Paper ,Pizza,,Grilled Rice Paper,South,"Vietnamese 'pizza' - a rice paper grilled over charcoal, topped with a quail egg, dried shrimp, scallion oil, mayo, and chili sauce.","Rice paper, quail egg, dried shrimp, scallion oil, mayonnaise, chili sauce, shredded dried pork, butter","Eat it hot, folded like a pizza. It's crunchy, chewy, savory, and spicy all at once.",This street food evolved in the early 2000s and is now everywhere in Saigon and Da Lat.
Bánh Tráng Trộn,Saigon Mixed Rice Paper Salad,Rice Paper Salad,South,"A Saigon street food phenomenon - shredded rice paper mixed with dried shrimp, quail eggs, green mango, herbs, and a spicy sauce.","Shredded rice paper, dried shrimp, quail eggs, green mango, roasted peanuts, fried shallots, herbs, scallion oil, chili sauce, lime juice",Mix it thoroughly until everything is coated. Eat it as a snack.,"This is a perfect example of Vietnamese creative street food - it's cheap, addictive, and found on every Saigon corner.",,
Bánh Trôi,Northern Floating Rice Cakes (sweet),Floating Cakes,North,A northern dessert - glutinous rice balls are filled with a cube of rock sugar and boiled until they float. They're then topped with sesame seeds and served in plain water.,"Glutinous rice flour, rock sugar, sesame seeds",Eat them with a spoon and drink the water. The balls are chewy and the sugar melts inside.,These are eaten during the Tết Hàn Thực (Cold Food Festival) to commemorate an ancient Chinese poet.,,
Bánh Ướt,Wet Rice Rolls with Grilled Pork,Wet Rice Rolls,Central,"Thin, soft steamed rice sheets served with grilled pork, fresh herbs, and fish sauce. Similar to bánh cuốn but without the filling.","Rice flour sheets, grilled pork, cucumber, lettuce, mint, bean sprouts, fish sauce dip","Wrap the rice sheet around pork and herbs, then dip in sauce.","The name means 'wet' - referring to the moist, soft texture of the rice sheets.",,
Bánh Xèo,Crispy Pancake with Shrimp and Pork,Pancake,South,"Giant crispy pancake made from rice flour and coconut milk, stuffed with shrimp, pork, and bean sprouts.","Rice flour, coconut milk, turmeric, shrimp, pork belly, bean sprouts, lettuce, fresh herbs, fish sauce dip","Tear a piece of pancake, put it in lettuce with herbs, roll tightly, and dip.",A well-made bánh xèo should be crispy enough that it shatters when you bite into it.,,
Bánh Xèo Cá Linh,Fish Pancake with Tiny River Fish,Fish Pancake,Mekong,Mekong Delta specialty made during flood season when tiny cá linh fish are abundant. These small fish are cooked right into the bánh xèo.,"Rice flour, coconut milk, turmeric, cá linh fish, bean sprouts, fresh herbs, green banana, starfruit, fish sauce dip","Wrap the pancake with fresh herbs, green banana, and starfruit, then dip.","Cá linh are so small they're cooked whole - you eat everything, including the soft bones.",,
Bánh Xèo Tôm Nhảy,Mekong Delta ,Jumping Shrimp, Pancakes,Pancakes,Mekong,A Mekong Delta specialty - bánh xèo made with 'jumping shrimp' - shrimp so fresh they're still moving when they're put in the pancake.,"Rice flour, coconut milk, turmeric, live shrimp, bean sprouts, herbs",The shrimp cook instantly in the hot pancake. Eat it immediately - it's the freshest possible.,"At some restaurants, they have tanks of live shrimp - you can see them jump when they're thrown onto the hot pan."
Bít Tết,Vietnamese-style Steak,Vietnamese Steak,All,"Vietnamese-style steak - usually a cheaper cut that's been marinated and tenderized. It's served with pâté, a fried egg, onions, tomatoes, and bread.","Beef, pâté, fried egg, onions, tomatoes, butter, bread","Eat it with the bread and dip it in the egg yolk and butter. It's not fancy, but it's very satisfying.","The name comes from the French word 'bifteck', but the dish has been completely adapted to Vietnamese tastes.",,
Bò 7 Món,Seven-Course Beef Feast (Saigon style),Beef Feast,Saigon,A seven-course beef feast - different beef preparations in one meal. It's popular for groups.,"Various beef cuts prepared in seven ways: fondue, grilled in leaves, steamed, salad, porridge, etc.","Eat the courses in the recommended order, usually from light to heavy. Wrap each course in rice paper with herbs.",This is a Saigon specialty - it's an experience where you get to try all the different ways of preparing beef.,,
Bò Bía,Fresh or Fried Spring Rolls with Jicama,Spring Rolls,South,"Vietnamese popiah - fresh or fried rolls filled with jicama, carrot, Chinese sausage, egg, and dried shrimp, wrapped in rice paper or a wheat flour wrapper.","Jicama, carrot, Chinese sausage, egg, dried shrimp, peanuts, lettuce, herbs, rice paper","Dip in a sweet hoisin-chili sauce. The fresh version is light and crunchy, while the fried version is indulgent.",There are two versions - a fresh southern style and a fried Hoi An style. Both are delicious.,,
Bò Bía Ngọt,Hoi An Sweet Coconut Rolls,Sweet Rolls,Hoi An,"A Hoi An specialty - a sweet version filled with shredded coconut, malt sugar, and black sesame seeds, wrapped in a thin wheat flour wrapper.","Shredded coconut, malt sugar, black sesame seeds, thin wheat flour wrapper",Eat it as a dessert. It's coated with sesame seeds on the outside and has a sweet coconut filling.,This is totally different from the savory bò bía - it's Hoi An's unique contribution to street food.,,
Bò Kho,Vietnamese Beef Stew,Beef Stew,All,"A rich, tomato-y Vietnamese beef stew with lemongrass and star anise. Served with bread or noodles.","Beef brisket, tomatoes, lemongrass, star anise, cinnamon, carrots, onions, fish sauce",Eat it with a baguette - it's essential to dip the bread in the broth.,"It's often confused with cà ri bò, but bò kho has a tomato base, while the curry has a coconut milk base.",,
Bò Lá Lốt,Grilled Beef Wraps in Wild Betel Leaves,Grilled Beef Wraps,South,"Seasoned ground beef wrapped in lolot leaves, then grilled until the leaf is slightly charred and the beef is juicy inside.","Ground beef, lolot leaves, garlic, shallots, fish sauce, pepper, lemongrass",Wrap in rice paper with herbs and dip in fish sauce. The leaf is edible and adds a peppery flavor.,The lolot leaf has a mild peppery taste that complements the beef perfectly - it's only grown in Southeast Asia.,,
Bò Lúc Lắc,Saigon ,Shaking Beef,,Shaking Beef,Saigon,"A French-influenced dish - cubes of beef tenderloin are marinated and quickly seared, then served with watercress, tomatoes, and onions.","Beef tenderloin, soy sauce, oyster sauce, garlic, pepper, butter, watercress, tomatoes, onions",Eat the beef with the watercress and onions. The beef should be rare on the inside and have a nice crust on the outside.,The name means 'shaking beef' - it comes from the action of shaking the pan while cooking.
Bò Né,Sizzling Beef Steak with Egg (Saigon style),Sizzling Beef,South,"A sizzling platter of beef steak, a fried egg, pâté, and onions, served with bread. The name means 'avoid the cow' - it sizzles so much you have to avoid it.","Beef tenderloin, fried egg, pork pâté, onions, tomatoes, butter, bread","Eat it immediately while it's still sizzling. Use the bread to soak up the butter, egg yolk, and juices.","This is a breakfast of champions - it's heavy, indulgent, and will wake you up completely.",,
Bún Bò Huế,Spicy Beef Noodle Soup (Hue style),Noodle Soup,Central,"Bold, spicy beef noodle soup with broth made from beef bones and lemongrass, colored with annatto seeds, and kicked with chili oil. Served with thick rice noodles, beef shank, pork knuckles, and congealed pork blood.","Beef bones, lemongrass, annatto seeds, chili oil, fish sauce, shrimp paste, thick rice noodles, beef shank, pork knuckles, pork blood, banana blossom, mint, bean sprouts","Add lots of fresh herbs, banana blossom, and bean sprouts. Squeeze lime and add extra chili if you dare.","Often described as having '12 different flavors in one bowl' - reflects Hue's love for bold, complex food.",,
Bún Bò Huế (original),Original Hue-style Spicy Beef Noodle Soup,Spicy Noodle Soup,Central,"The original Huế version, with even more complexity - it includes pork blood, congealed pig blood, and sometimes crab sausage.","Beef bones, oxtail, pork knuckles, lemongrass, annatto, chili oil, shrimp paste, thick noodles, beef shank, pork blood, crab sausage","Add banana blossom, mint, and bean sprouts. Squeeze in lime and add extra chili.",The original version includes crab sausage - a royal court influence.,,
Bún Cá Nha Trang,Nha Trang Fish Noodle Soup,Fish Noodle Soup,Nha Trang,"Nha Trang fish noodle soup - a clear broth with fresh fish, fish cakes, and tomatoes. This is the coastal city's specialty.","Fish broth, fresh fish fillets, fish cakes, tomatoes, rice vermicelli, dill, scallions, herbs","Add fresh herbs, chili, and lime. The broth is light but flavorful from the fresh fish.",Nha Trang's fishing fleet supplies fresh catch daily - they have the best fish noodle soup in Vietnam.,,
Bún Chả,Grilled Pork Noodle Bowl,Grilled Pork,North,"Grilled pork patties and caramelized pork belly served in a warm, tangy fish sauce broth with vermicelli noodles and fresh herbs. Made famous by Obama and Bourdain.","Charcoal-grilled pork patties, grilled pork belly, fish sauce broth, rice vermicelli, fresh mint, cilantro, perilla, pickled green papaya","Take noodles and herbs, dip them into the broth, then eat with a piece of pork. Some spoon broth over noodles - both ways work.",Obama ate this with Anthony Bourdain in Hanoi - now you can order the 'Obama Combo' at that restaurant.,,
Bún Chả Cá,Fish Cake Noodle Soup,Fish Noodle Soup,Central,"Fresh, bouncy fish cakes in a light, clear broth with rice vermicelli, tomatoes, and fresh herbs.","Fish cakes, rice vermicelli, fish broth, tomatoes, green onions, cilantro, chili, lime","Add fresh herbs, squeeze lime, and add chili to taste. The broth is delicate, so don't overwhelm it.",The best fish cakes are made fresh daily - you can often see vendors pounding the fish paste by hand.,,
Bún Chả Hà Nội (Obama style),Hanoi Grilled Pork Noodles (Obama style),Grilled Pork Noodles,Hanoi,"The specific version served at Bún Chả Hương Liên. It includes both pork patties and pork belly, and is served with crab spring rolls.","Grilled pork patties, grilled pork belly, fish sauce broth, rice vermicelli, fresh herbs, pickled papaya, crab spring rolls","Add the herbs, dip the noodles, eat with the pork, and have the spring roll on the side.",President Obama sat at table #7 and ate two plates of noodles and two spring rolls. The 'Obama Combo' includes the same.,,
Bún Kèn,Phu Quoc Coconut Fish Noodle Soup,Coconut Fish Noodles,Phu Quoc,"A Phu Quoc island specialty - a thick, coconut-based fish broth with fresh tuna or mackerel, served with rice noodles and fresh herbs.","Coconut milk, fresh tuna, fish broth, lemongrass, turmeric, chili, rice noodles, fresh herbs, pineapple, cucumber","Pour the coconut fish curry over the noodles, then add lots of fresh herbs and a squeeze of lime.",This is unique to Phu Quoc - it reflects the island's fishing culture and its coconut groves.,,
Bún Mắm,Fermented Fish Noodle Soup,Fermented Noodle Soup,South,"Intense noodle soup from the Mekong region using fermented fish as the base. The broth is loaded with shrimp, squid, fish, pork, and eggplant.","Fermented fish broth, rice vermicelli, shrimp, squid, fish fillets, pork, eggplant, lemongrass, morning glory, herbs",Start with a small spoonful of broth - it's strong! Add herbs to balance the flavor.,Considered the ultimate test of whether you truly love Vietnamese food.,,
Bún Ốc,Snail Noodle Soup,Snail Soup,North,"Tangy tomato-based broth with fresh water snails and rice vermicelli. The broth gets its sourness from rice vinegar, balanced with tomatoes and fresh dill.","Freshwater snails, rice vermicelli, tomatoes, rice vinegar, fermented shrimp, fresh dill, green onions, chili, lime","Squeeze lime, add chili. Use chopsticks for noodles and a toothpick to extract the snails.",There are over 20 varieties of edible snails used in Vietnamese cuisine.,,
Bún Ốc Nguội,Cold Snail Noodle Salad (Hanoi style),Cold Noodle Salad,North,"A Hanoi specialty - cold vermicelli with boiled snails, fresh herbs, cucumber, and a sweet-sour fish sauce.","Rice vermicelli, boiled freshwater snails, cucumber, fresh herbs, bean sprouts, roasted peanuts, fried shallots, sweet-sour fish sauce","Mix everything together, pour the sauce over, and eat it cold.",This is completely different from hot bún ốc - it uses the same main ingredient but in a totally different preparation.,,
Bún Riêu,Crab and Tomato Noodle Soup,Noodle Soup,North,"Rice vermicelli soup with a freshwater crab broth, topped with crab meat patties, fried tofu, and tomatoes.","Freshwater crabs, tomatoes, rice vermicelli, crab meat patties, fried tofu, shrimp paste, herbs","Add a tiny bit of shrimp paste, fresh herbs, and lime. The crab patties should melt in your mouth.",The crab 'flowers' that float in the broth are a sign of an authentic preparation.,,
Bún Sứa,Central Vietnamese Jellyfish Noodle Soup,Jellyfish Noodles,Central,"A Central Vietnam specialty - a noodle soup with fresh jellyfish, which adds a crunchy texture.","Rice vermicelli, fresh jellyfish, shrimp, pork, clear broth, herbs, peanuts",The jellyfish is crunchy and slippery - it's a unique texture. Add lots of herbs and lime.,The jellyfish are caught off the central coast and are processed immediately to maintain their crunch.,,
Bún Thang,Chicken and Ham Noodle Soup,Noodle Soup,North,"Complex noodle soup with shredded chicken, Vietnamese ham, and egg crepe arranged artfully over rice noodles in crystal-clear chicken broth infused with dried shrimp and squid.","Chicken broth, rice vermicelli, shredded chicken, Vietnamese ham, egg crepe, dried shrimp, dried squid","Don't mix immediately! Appreciate the arrangement, add herbs, lime, then stir gently.","Reflects Hanoi's elegant culinary tradition - everything carefully arranged, broth deliberately clear.",,
Bún Thịt Nướng,Grilled Pork Noodle Bowl,Grilled Pork Noodles,South,"Rice vermicelli topped with charcoal-grilled pork, fresh herbs, pickled vegetables, cucumbers, and peanuts. Served with fish sauce.","Grilled pork, rice vermicelli, lettuce, mint, cilantro, cucumber, pickled vegetables, peanuts, fish sauce",Pour the sauce over everything and mix thoroughly.,The marinade often includes honey or coconut soda to caramelize on the grill.,,
Bún Xào,Stir-fried Rice Vermicelli,Stir-fried Noodles,All,Stir-fried rice vermicelli with meat and vegetables. It's lighter than other fried noodle dishes.,"Rice vermicelli, pork, chicken, seafood, vegetables, garlic, fish sauce","The vermicelli can break easily, so stir-fry it gently.",This is a lighter option - it's less heavy than egg noodle dishes.,,
